model,case,radius,ring,shear_MPa,stable,force_residual_eV_L0,minimum_H,defect_difference_to_original,defect_difference_to_twofold,closer_zero_core,winding,projected_cell_y,full_lattice_glide_verified,physical_time_hold,macroscopic_residual_strain
current,positive_0_5MPa,8.0,5,5.0,True,5.060740346750359e-10,0.21633874212474796,0.0003980779725830936,0.24875017545664735,original,1.0000000000000002,0.38490017945975047,False,False,
current,positive_1_20MPa,8.0,5,20.0,True,2.6215980861860055e-10,0.21652653820293932,0.0015839971413793847,0.2494340554932424,original,1.0000000000000002,0.38490017945975047,False,False,
current,positive_2_50MPa,8.0,5,50.0,True,1.7901849187068608e-10,0.21680900965306218,0.003921723770019553,0.2507148358964254,original,1.0,0.7698003589195009,False,False,
current,positive_3_0MPa,8.0,5,0.0,True,1.3227660734110858e-08,0.21626923731725678,7.3609283557710315e-09,0.24851531378783281,original,1.0000000000000002,0.38490017945975047,False,False,
current,negative_0_5MPa,8.0,5,-5.0,True,2.1092272243020127e-10,0.21619627717578938,0.00039952833791079257,0.2483703091324111,original,1.0,0.38490017945975047,False,False,
current,negative_1_20MPa,8.0,5,-20.0,True,1.5838901717968312e-10,0.21595664975347084,0.0016072171943657563,0.24792401056094152,original,1.0000000000000002,0.38490017945975047,False,False,
current,negative_2_50MPa,8.0,5,-50.0,True,8.747427022223059e-08,0.2153838763635334,0.004067402057514058,0.24697807667371585,original,1.0000000000000002,0.38490017945975047,False,False,
current,negative_3_0MPa,8.0,5,-0.0,True,2.945949176876711e-10,0.21626923731614422,2.7573776023775163e-10,0.24851530988026466,original,1.0000000000000002,0.38490017945975047,False,False,
Mishin_target,positive_0_5MPa,8.0,5,5.0,True,4.686629114306062e-10,0.1546683719058866,0.0023951144075876046,0.08149037122565164,original,0.9999999999999999,0.38490017945975047,False,False,
Mishin_target,positive_1_20MPa,8.0,5,20.0,True,4.830388546019516e-10,0.17902301623762512,0.008585054447101934,0.08743781437785322,original,1.0,0.38490017945975047,False,False,
Mishin_target,positive_2_50MPa,8.0,5,50.0,True,4.613526197357054e-10,0.16248535551447418,0.01991032534330122,0.09884616909852018,original,1.0000000000000002,0.7698003589195009,False,False,
Mishin_target,positive_3_0MPa,8.0,5,0.0,True,5.60972203259881e-10,0.14244587890567312,6.651649621081725e-10,0.07926041170180195,original,0.9999999999999999,0.38490017945975047,False,False,
Mishin_target,negative_0_5MPa,8.0,5,-5.0,True,4.78280445630197e-10,0.1242973352075605,0.0027115341227510964,0.07678347231325487,original,1.0000000000000002,0.38490017945975047,False,False,
Mishin_target,negative_1_20MPa,8.0,5,-20.0,True,1.5486883338244883e-09,0.17902300244465236,0.08743781521718047,0.008585056370263681,twofold,1.0,-0.09622504486493766,False,False,
Mishin_target,negative_2_50MPa,8.0,5,-50.0,True,4.61348062617134e-10,0.16248535551447707,0.09884616909851922,0.019910325343298,twofold,1.0,-0.4811252243246882,False,False,
Mishin_target,negative_3_0MPa,8.0,5,-0.0,True,5.60964693885899e-10,0.14244587890565194,0.0792604117018015,6.65165694537566e-10,twofold,1.0,-0.09622504486493766,False,False,
Mishin_target,positive_0_5MPa,10.0,5,5.0,True,5.219364927777116e-10,0.1431675743515608,0.0021147818498945424,0.08885577517161394,original,1.0,0.38490017945975047,False,False,
Mishin_target,positive_1_20MPa,10.0,5,20.0,True,4.353290560064199e-10,0.14987575631451316,0.00799239813364933,0.09466642059136375,original,1.0,0.7698003589195009,False,False,
Mishin_target,positive_2_50MPa,10.0,5,50.0,True,3.9850949710290573e-10,0.10970202688553857,0.021072347761472727,0.10776995079422,original,1.0,0.7698003589195009,False,False,
Mishin_target,positive_3_0MPa,10.0,5,0.0,True,3.5701871840820854e-10,0.13715990103862363,5.305411830057197e-10,0.08680937617543825,original,0.9999999999999998,0.38490017945975047,False,False,
Mishin_target,negative_0_5MPa,10.0,5,-5.0,True,4.45195269321505e-10,0.12862056752639944,0.0022770806364728943,0.08477805078285326,original,0.9999999999999999,0.38490017945975047,False,False,
Mishin_target,negative_1_20MPa,10.0,5,-20.0,True,5.886862911204382e-10,0.052642514875385044,0.01203240242574814,0.075467056110347,original,1.0,0.38490017945975047,False,False,
Mishin_target,negative_2_50MPa,10.0,5,-50.0,True,7.687852550744556e-10,0.1097020275286431,0.10776995053140966,0.021072347494525225,twofold,0.9999999999999999,-0.4811252243246882,False,False,
Mishin_target,negative_3_0MPa,10.0,5,-0.0,True,3.967801119131656e-10,0.13715990104833853,0.08680937617524975,5.307138697771636e-10,twofold,0.9999999999999998,-0.09622504486493766,False,False,
Mishin_target,positive_0_5MPa,16.0,5,5.0,True,4.1628330748049325e-10,0.06518352147176451,0.0020476595486620566,0.09604274415152371,original,1.0,0.38490017945975047,False,False,
Mishin_target,positive_1_20MPa,16.0,5,20.0,True,3.506792425889138e-10,0.06518376537092213,0.008208392193081272,0.1021728382093029,original,0.9999999999999999,0.7698003589195009,False,False,
Mishin_target,positive_2_50MPa,16.0,5,50.0,True,2.2897098691902762e-10,0.06519051979269075,0.11430210886246372,0.18623122908317508,original,0.9999999999999999,1.6358257627039396,False,False,
Mishin_target,positive_3_0MPa,16.0,5,0.0,True,4.2461084962756163e-10,0.0651898727634044,0.09437850098986753,0.1706565815022528,original,0.9999999999999998,1.250925583244189,False,False,
Mishin_target,negative_0_5MPa,16.0,5,-5.0,True,4.402856089696233e-10,0.06518346735947503,0.002080887263634954,0.09224512759790586,original,0.9999999999999998,0.38490017945975047,False,False,
Mishin_target,negative_1_20MPa,16.0,5,-20.0,True,3.862722278944212e-10,0.06518178922308067,0.009273977277746816,0.08586894968911502,original,1.0000000000000002,0.38490017945975047,False,False,
Mishin_target,negative_2_50MPa,16.0,5,-50.0,True,4.313011522363505e-10,0.06519051979225256,0.1862312287472904,0.11430210866709925,twofold,1.0,-1.3471506281091268,False,False,
Mishin_target,negative_3_0MPa,16.0,5,-0.0,True,8.022791641096316e-10,0.06518987276341778,0.17065658150312862,0.09437850098893798,twofold,1.0,-0.9622504486493764,False,False,
joint_trial,positive_0_5MPa,8.0,5,5.0,True,2.517384876943307e-10,0.21626225126004092,0.00039604039150913057,0.2496576084895487,original,1.0000000000000002,0.38490017945975047,False,False,
joint_trial,positive_1_20MPa,8.0,5,20.0,True,1.845336262217527e-10,0.21644612979822064,0.001569490304702967,0.25054586150124486,original,1.0,0.38490017945975047,False,False,
joint_trial,positive_2_50MPa,8.0,5,50.0,True,4.852881261988365e-10,0.2167265147328547,0.0038584721089057303,0.25215769143482336,original,1.0,0.7698003589195009,False,False,
joint_trial,positive_3_0MPa,8.0,5,0.0,True,2.265877884735819e-09,0.21619453794812518,1.891909397133044e-09,0.24934810442285943,original,0.9999999999999999,0.38490017945975047,False,False,
joint_trial,negative_0_5MPa,8.0,5,-5.0,True,2.9664240768639827e-10,0.2161236309016869,0.00039862413400659416,0.24912521301282978,original,1.0,0.38490017945975047,False,False,
joint_trial,negative_1_20MPa,8.0,5,-20.0,True,3.417826143631286e-10,0.21589186208261646,0.0016108924325677777,0.24842874259813585,original,1.0,0.38490017945975047,False,False,
joint_trial,negative_2_50MPa,8.0,5,-50.0,True,4.16355310601732e-08,0.2153438510624437,0.004118181522700686,0.2469000081342407,original,1.0000000000000002,0.38490017945975047,False,False,
joint_trial,negative_3_0MPa,8.0,5,-0.0,True,4.021997789286844e-09,0.21619453795507862,1.3495620827867667e-09,0.24934810590174927,original,1.0,0.38490017945975047,False,False,
