candidate,protocol,traction_step_GPa,step,normal_traction_GPa,shear_traction_GPa,status,force_residual_ev_coordinate,substeps,a,s,energy_ev_cell,loaded_energy_ev_cell,min_hessian_eigenvalue,normal_strain,slip_over_period,a_error_angstrom,s_error_angstrom
angular_even_odd,mixed,0.1,0,0.0,0.0,stable_local_equilibrium,8.881531738686165e-16,1,0.816496580927726,0.0,3.0059387745587798e-40,3.0059387745587798e-40,4.723978381524975,0.0,0.0,0.0,0.0
angular_even_odd,mixed,0.1,1,0.5,0.2,stable_local_equilibrium,4.3021142204224816e-15,5,0.8193502742530523,0.005547710199237506,0.0001627436870132397,-0.00015925650020870812,4.571629741130755,0.003495046264717742,0.005547710199237506,-3.179437228834644e-16,-1.5648792610670513e-16
angular_even_odd,mixed,0.1,2,1.0,0.4,stable_local_equilibrium,1.2212453270876722e-15,5,0.8224049946441518,0.011475960992726327,0.000681378635206128,-0.0006514671367417646,4.4038536737244955,0.0072362993972522275,0.011475960992726327,1.589718614417322e-15,1.4903612010162393e-16
angular_even_odd,mixed,0.1,3,0.0,0.0,stable_local_equilibrium,6.4210766706356095e-16,10,0.8164965809277259,-6.029704576248253e-18,1.1120429880852173e-15,1.1120429880852173e-15,4.723978381524976,-1.3597399555105182e-16,-6.029704576248253e-18,0.0,-8.295107380002171e-17
angular_even_odd,mixed,0.05,0,0.0,0.0,stable_local_equilibrium,8.881531738686165e-16,1,0.816496580927726,0.0,3.0059387745587798e-40,3.0059387745587798e-40,4.723978381524975,0.0,0.0,0.0,0.0
angular_even_odd,mixed,0.05,1,0.5,0.2,stable_local_equilibrium,9.409140133698202e-15,10,0.8193502742530524,0.0055477101992375604,0.00016274368701531884,-0.00015925650020663738,4.571629741130765,0.003495046264717878,0.0055477101992375604,0.0,0.0
angular_even_odd,mixed,0.05,2,1.0,0.4,stable_local_equilibrium,1.7513768213461844e-14,10,0.8224049946441513,0.011475960992726275,0.0006813786352042433,-0.0006514671367435762,4.403853673724518,0.007236299397251548,0.011475960992726275,0.0,0.0
angular_even_odd,mixed,0.05,3,0.0,0.0,stable_local_equilibrium,6.4210766706356095e-16,20,0.8164965809277259,2.2935859271011557e-17,1.1120429880852173e-15,1.1120429880852173e-15,4.723978381524976,-1.3597399555105182e-16,2.2935859271011557e-17,0.0,0.0
Mishin_source_rigid,normal,0.2,0,0.0,0.0,stable_local_equilibrium,3.139493737680174e-16,1,2.3382736324750235,-3.2375325977649416e-18,-3.0475760803838625e-11,-3.0475760803838625e-11,0.5357167042963411,2.1564062657753875e-06,-1.130509261329427e-18,0.0,0.0
Mishin_source_rigid,normal,0.2,1,0.05,0.0,stable_local_equilibrium,1.1622647289044608e-16,1,2.3391989983783854,2.917861476290673e-17,1.025799238094094e-06,-1.036462593425622e-06,0.5346769748581713,0.0003979047421212511,1.0188837710854941e-17,0.0,0.0
Mishin_source_rigid,normal,0.2,2,0.15,0.0,stable_local_equilibrium,4.215378046623641e-16,1,2.341054376080269,-1.9800560995756648e-17,9.25303153398449e-06,-9.27116064023563e-06,0.5326037187808271,0.0011913883092552217,-6.914128864887598e-18,0.0,-5.570678764127787e-17
Mishin_source_rigid,normal,0.2,3,0.4,0.0,stable_local_equilibrium,1.2073675392798577e-15,2,2.3457206633122216,-2.5849543114613968e-17,6.617660716881635e-05,-6.596433107332626e-05,0.5274101657412319,0.0031870047459100514,-9.026364062675342e-18,8.881784197001252e-16,4.3028465883106264e-17
Mishin_source_rigid,normal,0.2,4,1.0,0.0,stable_local_equilibrium,2.706168622523819e-16,3,2.3570935031231692,-1.0268641226332312e-16,0.00041963118518408005,-0.00041488211808095646,0.5149669628015872,0.008050791506133085,-3.585691775166086e-17,0.0,-3.8370739390809537e-16
Mishin_source_rigid,normal,0.2,5,2.0,0.0,stable_local_equilibrium,1.3877787807814457e-16,5,2.376613831093715,-2.1466849931066632e-17,0.0017203447912737813,-0.001679364284552658,0.4943857957351386,0.016398988993884495,-7.495977855294413e-18,0.0,-3.203021865510593e-17
Mishin_source_rigid,normal,0.2,6,4.0,0.0,stable_local_equilibrium,1.3600232051658168e-15,10,2.4178873046160008,-2.5107328615286165e-16,0.007231607589642669,-0.006886465984170141,0.45415197827717746,0.03405028606683454,-8.767191269801432e-17,0.0,-3.1492982885242477e-16
Mishin_source_rigid,normal,0.1,0,0.0,0.0,stable_local_equilibrium,3.139493737680174e-16,1,2.3382736324750235,-3.2375325977649416e-18,-3.0475760803838625e-11,-3.0475760803838625e-11,0.5357167042963411,2.1564062657753875e-06,-1.130509261329427e-18,0.0,0.0
Mishin_source_rigid,normal,0.1,1,0.05,0.0,stable_local_equilibrium,1.1622647289044608e-16,1,2.3391989983783854,2.917861476290673e-17,1.025799238094094e-06,-1.036462593425622e-06,0.5346769748581713,0.0003979047421212511,1.0188837710854941e-17,0.0,0.0
Mishin_source_rigid,normal,0.1,2,0.15,0.0,stable_local_equilibrium,4.215378046623641e-16,1,2.341054376080269,-1.9800560995756648e-17,9.25303153398449e-06,-9.27116064023563e-06,0.5326037187808271,0.0011913883092552217,-6.914128864887598e-18,0.0,-5.570678764127787e-17
Mishin_source_rigid,normal,0.1,3,0.4,0.0,stable_local_equilibrium,1.2073675392798577e-15,3,2.3457206633122216,-3.480617893944999e-18,6.617660716881635e-05,-6.596433107332626e-05,0.5274101657412319,0.0031870047459100514,-1.2153918595198759e-18,8.881784197001252e-16,6.539739110377523e-17
Mishin_source_rigid,normal,0.1,4,1.0,0.0,stable_local_equilibrium,2.706168622523819e-16,6,2.3570935031231692,-1.4105264403703294e-16,0.00041963118518408005,-0.00041488211808095646,0.5149669628015872,0.008050791506133085,-4.925396597673e-17,0.0,-4.220736256818052e-16
Mishin_source_rigid,normal,0.1,5,2.0,0.0,stable_local_equilibrium,1.3877787807814457e-16,10,2.376613831093715,-2.175722642740947e-18,0.0017203447912737813,-0.001679364284552658,0.4943857957351386,0.016398988993884495,-7.597373998336987e-19,0.0,-1.2739091366780242e-17
Mishin_source_rigid,normal,0.1,6,4.0,0.0,stable_local_equilibrium,8.326672684688674e-17,20,2.4178873046160003,1.3324673486918737e-17,0.0072316075896426,-0.006886465984170132,0.4541519782771789,0.03405028606683434,4.652823199850291e-18,-4.440892098500626e-16,-5.053186921264437e-17
Mishin_source_rigid,normal,0.05,0,0.0,0.0,stable_local_equilibrium,3.139493737680174e-16,1,2.3382736324750235,-3.2375325977649416e-18,-3.0475760803838625e-11,-3.0475760803838625e-11,0.5357167042963411,2.1564062657753875e-06,-1.130509261329427e-18,0.0,0.0
Mishin_source_rigid,normal,0.05,1,0.05,0.0,stable_local_equilibrium,1.1622647289044608e-16,1,2.3391989983783854,2.917861476290673e-17,1.025799238094094e-06,-1.036462593425622e-06,0.5346769748581713,0.0003979047421212511,1.0188837710854941e-17,0.0,0.0
Mishin_source_rigid,normal,0.05,2,0.15,0.0,stable_local_equilibrium,4.215378046623641e-16,2,2.341054376080269,3.590622664552123e-17,9.25303153398449e-06,-9.27116064023563e-06,0.5326037187808271,0.0011913883092552217,1.2538042640923043e-17,0.0,0.0
Mishin_source_rigid,normal,0.05,3,0.4,0.0,stable_local_equilibrium,1.394717674685353e-15,5,2.3457206633122207,-6.887800899772023e-17,6.617660716885798e-05,-6.596433107326888e-05,0.527410165741233,0.0031870047459096715,-2.4051410981193094e-17,0.0,0.0
Mishin_source_rigid,normal,0.05,4,1.0,0.0,stable_local_equilibrium,2.706168622523819e-16,12,2.3570935031231692,2.8102098164477223e-16,0.00041963118518408005,-0.00041488211808095646,0.5149669628015872,0.008050791506133085,9.812930458109569e-17,0.0,0.0
Mishin_source_rigid,normal,0.05,5,2.0,0.0,stable_local_equilibrium,1.3877787807814457e-16,20,2.376613831093715,1.0563368724039295e-17,0.0017203447912737813,-0.001679364284552658,0.4943857957351386,0.016398988993884495,3.688607237996086e-18,0.0,0.0
Mishin_source_rigid,normal,0.05,6,4.0,0.0,stable_local_equilibrium,1.1379786002407855e-15,40,2.4178873046160008,6.385654269956311e-17,0.007231607589642794,-0.006886465984170016,0.4541519782771774,0.03405028606683454,2.2297972526414522e-17,0.0,0.0
Mishin_source_rigid,mixed,0.2,0,0.0,0.0,stable_local_equilibrium,3.139493737680174e-16,1,2.3382736324750235,-3.2375325977649416e-18,-3.0475760803838625e-11,-3.0475760803838625e-11,0.5357167042963411,2.1564062657753875e-06,-1.130509261329427e-18,0.0,0.0
Mishin_source_rigid,mixed,0.2,1,0.5,0.2,stable_local_equilibrium,4.2674197509029455e-16,3,2.3476657960557783,0.016881904901219092,0.00017997798470818782,-0.00017798815948724938,0.5248541858844449,0.004018873570430053,0.005894967622221449,-4.440892098500626e-16,-4.614364446098307e-16
Mishin_source_rigid,mixed,0.2,2,1.0,0.4,stable_local_equilibrium,2.498001805406602e-16,3,2.3573706604787663,0.03447355790870628,0.000737737523080817,-0.0007203509666270556,0.5129944145348749,0.008169322523808536,0.01203777114512264,0.0,-4.024558464266192e-16
Mishin_source_rigid,mixed,0.2,3,0.0,0.0,stable_local_equilibrium,3.816350182695303e-16,5,2.3382736324750235,7.330808695483135e-16,-3.0475830192777664e-11,-3.0475830192777664e-11,0.535716704296341,2.1564062657753875e-06,2.559834340818486e-16,0.0,8.70589654136553e-16
Mishin_source_rigid,mixed,0.1,0,0.0,0.0,stable_local_equilibrium,3.139493737680174e-16,1,2.3382736324750235,-3.2375325977649416e-18,-3.0475760803838625e-11,-3.0475760803838625e-11,0.5357167042963411,2.1564062657753875e-06,-1.130509261329427e-18,0.0,0.0
Mishin_source_rigid,mixed,0.1,1,0.5,0.2,stable_local_equilibrium,1.214306433183765e-16,5,2.3476657960557783,0.016881904901219442,0.0001799779847081323,-0.00017798815948730804,0.5248541858844444,0.004018873570430053,0.005894967622221571,-4.440892098500626e-16,-1.1102230246251565e-16
Mishin_source_rigid,mixed,0.1,2,1.0,0.4,stable_local_equilibrium,2.498001805406602e-16,5,2.3573706604787663,0.03447355790870619,0.000737737523080817,-0.0007203509666270543,0.5129944145348749,0.008169322523808536,0.01203777114512261,0.0,-4.926614671774132e-16
Mishin_source_rigid,mixed,0.1,3,0.0,0.0,stable_local_equilibrium,1.184848321344155e-15,10,2.338273632475024,2.541461185322173e-16,-3.0476079992958205e-11,-3.0476079992958205e-11,0.5357167042963406,2.1564062659653096e-06,8.874491053154122e-17,4.440892098500626e-16,3.916549031204567e-16
Mishin_source_rigid,mixed,0.05,0,0.0,0.0,stable_local_equilibrium,3.139493737680174e-16,1,2.3382736324750235,-3.2375325977649416e-18,-3.0475760803838625e-11,-3.0475760803838625e-11,0.5357167042963411,2.1564062657753875e-06,-1.130509261329427e-18,0.0,0.0
Mishin_source_rigid,mixed,0.05,1,0.5,0.2,stable_local_equilibrium,1.7867651802561113e-15,10,2.3476657960557787,0.016881904901219554,0.00017997798470779924,-0.0001779881594876519,0.5248541858844435,0.004018873570430243,0.00589496762222161,0.0,0.0
Mishin_source_rigid,mixed,0.05,2,1.0,0.4,stable_local_equilibrium,8.326672684688674e-17,10,2.3573706604787663,0.03447355790870668,0.0007377375230810113,-0.0007203509666268686,0.5129944145348747,0.008169322523808536,0.012037771145122781,0.0,0.0
Mishin_source_rigid,mixed,0.05,3,0.0,0.0,stable_local_equilibrium,7.580368895521855e-16,20,2.3382736324750235,-1.3750878458823942e-16,-3.047564978153616e-11,-3.047564978153616e-11,0.5357167042963414,2.1564062657753875e-06,-4.801649089138979e-17,0.0,0.0
