j,lower_layer,y_over_L0,raw_delta_x,raw_delta_y,raw_delta_z,affine_subtracted_delta_x,affine_subtracted_delta_y,affine_subtracted_delta_z,both_rows_free
-22,0,-18.908221315960244,0.9929894115278113,0.0,0.0,0.9929894115278113,0.0,0.0,False
-21,0,-18.042195912175806,0.992655667354008,0.0,0.0,0.992655667354008,0.0,0.0,False
-20,0,-17.176170508391365,0.9922885638305753,0.0,0.0,0.9922885638305753,0.0,0.0,False
-19,0,-16.310145104606928,0.9918828371163816,0.0,0.0,0.9918828371163816,0.0,0.0,False
-18,0,-15.444119700822489,0.9914320546587712,0.0,0.0,0.9914320546587712,0.0,0.0,False
-17,0,-14.57809429703805,0.9909282718509096,0.0,0.0,0.9909282718509096,0.0,0.0,False
-16,0,-13.712068893253612,0.9903615601251208,0.0,0.0,0.9903615601251208,0.0,0.0,False
-15,0,-12.84604348946917,0.9897193465967873,0.0,0.0,0.9897193465967873,0.0,0.0,False
-14,0,-11.980018085684733,0.9889854712321714,0.0,0.0,0.9889854712321714,0.0,0.0,False
-13,0,-11.113992681900296,0.9881388098037639,0.0,0.0,0.9881388098037639,0.0,0.0,False
-12,0,-10.247967278115857,0.9871512100477771,0.0,0.0,0.9871512100477771,0.0,0.0,False
-11,0,-9.381941874331417,0.9859366465039094,0.0003026056934952471,0.0003126233264800855,0.9859366465039094,0.0003026056934952471,0.0003126233264800855,True
-10,0,-8.51591647054698,0.9845213831222803,0.0006337827115075271,0.0001686338967056937,0.9845213831222803,0.0006337827115075271,0.0001686338967056937,True
-9,0,-7.649891066762541,0.9827923045720386,0.0011495554106823796,4.841101952113638e-06,0.9827923045720386,0.0011495554106823796,4.841101952113638e-06,True
-8,0,-6.783865662978103,0.9805978300998616,0.0018899359085286236,-0.00014435716717738144,0.9805978300998616,0.0018899359085286236,-0.00014435716717738144,True
-7,0,-5.917840259193664,0.9776955473731649,0.0030177288245095027,-0.0002909399470690866,0.9776955473731649,0.0030177288245095027,-0.0002909399470690866,True
-6,0,-5.0518148554092255,0.9735931623943308,0.004938930377266988,-0.0004455516517267868,0.9735931623943308,0.004938930377266988,-0.0004455516517267868,True
-5,0,-4.185789451624787,0.9670462163718844,0.008677980359413641,-0.0006372686650254129,0.9670462163718844,0.008677980359413641,-0.0006372686650254129,True
-4,0,-3.319764047840348,0.9543700579600373,0.0167670379371231,-0.0009486958614996549,0.9543700579600373,0.0167670379371231,-0.0009486958614996549,True
-3,0,-2.4537386440559095,0.9253919388849595,0.034245133506344456,-0.0011190508186231414,0.9253919388849595,0.034245133506344456,-0.0011190508186231414,True
-2,0,-1.5877132402714706,0.8593285365301411,0.06623064158133944,0.004226004096743289,0.8593285365301411,0.06623064158133944,0.004226004096743289,True
