model,ring,j,l,gx,gy,gz,units
unchanged,3,-9,0,0.00014260727754340305,0.00024664902659970566,0.00010567964115284578,eV/L0
unchanged,3,-9,1,0.00015628345181990658,0.00022007845856903007,0.00014001942995309777,eV/L0
unchanged,3,-9,2,0.00015893785752071394,4.122224724023925e-05,-6.91824106538221e-05,eV/L0
unchanged,3,-9,3,0.00017460512324419644,-8.16623760330007e-06,1.616396500548776e-05,eV/L0
unchanged,3,-9,4,0.00017980263350467156,1.745228957271232e-05,1.1905256847967969e-05,eV/L0
unchanged,3,-9,5,0.00017694255806785083,3.0664210379402e-05,-3.363562773798986e-05,eV/L0
unchanged,3,-9,6,0.00016485103557353642,0.0001171211394310866,-1.0306891091939328e-05,eV/L0
unchanged,3,-9,7,0.00010154399404325061,8.943037583572679e-05,-3.675673778186538e-05,eV/L0
unchanged,3,-8,-2,0.00012368325780721213,6.956233239002582e-05,-6.84327956500676e-05,eV/L0
unchanged,3,-8,-1,0.00014744728849663236,0.0002484825655611079,-4.746190154264802e-05,eV/L0
unchanged,3,-8,0,0.00016154286482792236,-1.7613592412842634e-05,0.0004102479896795188,eV/L0
unchanged,3,-8,1,0.00016859072437734295,0.0001977665557097518,0.00025747690885550206,eV/L0
unchanged,3,-8,2,0.00018557157336989064,2.21363118967418e-05,-9.788883535889237e-05,eV/L0
unchanged,3,-8,3,0.0002285680136880871,3.2793821741216884e-05,2.4547576750319884e-05,eV/L0
unchanged,3,-8,4,0.00024374580905864874,4.3913146126852404e-05,-7.106340696721169e-06,eV/L0
unchanged,3,-8,5,0.00024336565025821153,0.000109739261341251,5.61702823017043e-06,eV/L0
unchanged,3,-8,6,0.00019184714998922344,6.340220289818586e-05,-2.4675455852660907e-05,eV/L0
unchanged,3,-8,7,0.0001318463686316895,0.0001774100572196971,-5.3103039853790254e-05,eV/L0
unchanged,3,-8,8,2.6460113594112826e-05,0.00015553234409064384,-0.00018310991029850605,eV/L0
unchanged,3,-7,-3,9.661614445599508e-05,7.091198109365494e-05,-4.156441772266956e-05,eV/L0
unchanged,3,-7,-2,0.00014013879339871548,0.00011064519475257456,0.00012018305615095088,eV/L0
unchanged,3,-7,-1,0.0001676777015322223,2.9239487570483e-05,-9.059419191522108e-05,eV/L0
unchanged,3,-7,0,0.0001907774082153028,-1.770083803415881e-05,0.0004781249297532098,eV/L0
unchanged,3,-7,1,0.00021214703587526848,0.0003228178050798365,0.0002794088213806052,eV/L0
unchanged,3,-7,2,0.000250850308625772,0.0001115537606475736,-0.0001624270311155548,eV/L0
unchanged,3,-7,3,0.0003206980639000335,4.3159265712656486e-05,-2.2672480305279275e-05,eV/L0
unchanged,3,-7,4,0.0003479633105738817,0.000155303995282671,6.62639793952785e-05,eV/L0
unchanged,3,-7,5,0.00028752901291251607,7.053971357335566e-05,-1.6501230908844715e-05,eV/L0
unchanged,3,-7,6,0.00018323225833697957,0.00011281191286815551,7.441606862830848e-05,eV/L0
unchanged,3,-7,7,7.173672512374139e-05,1.864871952185934e-05,-4.163129453554792e-05,eV/L0
unchanged,3,-7,8,1.895492022155293e-05,4.7651380664810296e-05,-6.422611421647943e-05,eV/L0
unchanged,3,-7,9,-4.8132909034047546e-05,4.888398911286522e-05,-0.00012641928149797842,eV/L0
unchanged,3,-6,-4,6.123917980553629e-05,5.030262711824595e-05,-7.029668033379414e-07,eV/L0
unchanged,3,-6,-3,8.574699380292979e-05,0.00015828065553081857,0.00011139073562773124,eV/L0
unchanged,3,-6,-2,0.0001337875581083985,-0.00014540873474202246,1.2259331234201321e-05,eV/L0
unchanged,3,-6,-1,0.00019879389745278015,8.824846187888511e-05,-0.00017303775946015835,eV/L0
unchanged,3,-6,0,0.00024327991929558993,-7.122327064144466e-05,0.0005485384293832001,eV/L0
unchanged,3,-6,1,0.0002873507852337601,0.0005650910406719852,0.00033552537024440315,eV/L0
unchanged,3,-6,2,0.00035472822749877645,0.00014969218089921167,-0.00024536831826408754,eV/L0
unchanged,3,-6,3,0.0005048774725492591,0.00018998459642356505,4.3581343778868316e-05,eV/L0
unchanged,3,-6,4,0.00048426439251030836,0.00017566373302096655,9.194594172788601e-06,eV/L0
unchanged,3,-6,5,0.00033884553293444175,0.00020917004121258386,0.00012023785424168318,eV/L0
unchanged,3,-6,6,0.00011015548929665608,4.547221843679566e-05,-6.490885720275413e-05,eV/L0
unchanged,3,-6,7,-6.062723184706488e-06,-8.663713084082308e-05,0.00011684546308072319,eV/L0
unchanged,3,-6,8,-5.32076974418846e-05,6.02220150895665e-05,-6.189728006409302e-05,eV/L0
unchanged,3,-6,9,-0.00010233300076930552,2.1748147640530958e-05,-0.0001735073721998304,eV/L0
unchanged,3,-5,-5,2.4137103082091697e-05,3.3631442191157744e-05,2.3412369765407074e-05,eV/L0
unchanged,3,-5,-4,2.2142154410823174e-05,0.0001593554365119761,0.0001387765469032144,eV/L0
unchanged,3,-5,-3,4.9320872197520854e-05,-9.566484113576266e-05,-6.364502913094746e-05,eV/L0
unchanged,3,-5,-2,0.00011835805651160627,-8.162205992658995e-05,6.391244580099526e-07,eV/L0
unchanged,3,-5,-1,0.0002280974667243225,2.700650977533514e-05,-0.00035648081146211284,eV/L0
unchanged,3,-5,0,0.00035492752053499184,-1.815924090974393e-05,0.0006696922138580896,eV/L0
unchanged,3,-5,1,0.0004237442462331648,0.000818441001109447,0.00030319288687913847,eV/L0
unchanged,3,-5,2,0.0005943317588544219,0.0004238583206400485,-0.0001811783632614236,eV/L0
unchanged,3,-5,3,0.0008040871924438107,0.00023676755854708391,-7.75069983549513e-05,eV/L0
unchanged,3,-5,4,0.000661450018635102,0.00043657017468085415,0.00022860798457877298,eV/L0
unchanged,3,-5,5,0.00021556635566875973,0.00012438543187474576,-0.00017490357594003965,eV/L0
unchanged,3,-5,6,-3.876988849233431e-06,-0.00021642532273194004,0.0003126613584297353,eV/L0
unchanged,3,-5,7,-0.00011912014473588399,5.02184648243129e-05,-5.5698075200287316e-05,eV/L0
unchanged,3,-5,8,-0.0001910012605280418,-9.70034896453182e-05,-9.58838510812279e-05,eV/L0
unchanged,3,-5,9,-0.0001661750699678155,4.7239335595431517e-05,-8.841713637488121e-05,eV/L0
unchanged,3,-5,10,-0.00016016736053644652,-1.7186512562108128e-05,-0.00015923007460751825,eV/L0
unchanged,3,-4,-6,-8.38290546312801e-06,5.049742797073562e-05,5.976611984701396e-05,eV/L0
unchanged,3,-4,-5,-3.0340598768283945e-05,0.00018859004102212586,0.000128007403721846,eV/L0
unchanged,3,-4,-4,-4.213474930624323e-06,-3.444738808667281e-05,-5.858793153442339e-05,eV/L0
unchanged,3,-4,-3,7.156687410155449e-06,2.1905433027702418e-05,-3.798252563565554e-05,eV/L0
unchanged,3,-4,-2,3.3534398841019504e-05,-8.832237242092376e-05,-9.160369224878177e-05,eV/L0
unchanged,3,-4,-1,0.0001785935684163603,0.00013828641500530605,-0.0005789362013204346,eV/L0
unchanged,3,-4,0,0.0005405853996049796,-5.112916986826445e-06,0.0006743115284754639,eV/L0
unchanged,3,-4,1,0.0008101016538922208,0.001537846255340646,0.0003391864010011772,eV/L0
