model,state,a_L0,ux_L0,uy_L0,energy_eV_cell,energy_J_m2,gradient_norm_eV_L0,eigenvalue_min_eV_L0sq,eigenvalue_middle_eV_L0sq,eigenvalue_max_eV_L0sq,force_a_eV_L0,traction_a_MPa,H_aa_eV_L0sq,H_ax_eV_L0sq,H_ay_eV_L0sq,force_x_eV_L0,traction_x_MPa,H_xa_eV_L0sq,H_xx_eV_L0sq,H_xy_eV_L0sq,force_y_eV_L0,traction_y_MPa,H_ya_eV_L0sq,H_yx_eV_L0sq,H_yy_eV_L0sq,step,normal_load_MPa,shear_x_MPa,shear_y_MPa,equilibrium_residual_eV_L0,du_norm_L0,da_from_initial_L0,static_unload,physical_time_available
analytic_candidate,pure_x_shear,0.8164965809280745,-3.179111253682361e-17,-3.133876567899808e-17,2.039121425684851e-15,4.599840780419792e-15,3.265141628562319e-15,4.945211215202439,4.945211215202441,22.902007120234316,-3.254459695538405e-15,-2.563531057468017e-11,22.902007120234316,1.4651615853800924e-15,-1.100344689354613e-15,-2.432759219466966e-16,-1.916279320648795e-12,1.4651615853800924e-15,4.945211215202443,-1.59462296517839e-16,-1.022681303615499e-16,-8.055639119772509e-13,-1.100344689354613e-15,-1.59462296517839e-16,4.945211215202439,0,0,0,0,3.254459695538405e-15,0.0,0.0,False,False
analytic_candidate,pure_x_shear,0.8164970123634501,0.000641801835422924,1.218833278005658e-06,1.0184835596210552e-06,2.2974905529025094e-06,0.003173805605024633,4.926369358666303,4.963934870167208,22.902055412601918,-2.6652950476540628e-17,-2.0994473034475653e-13,22.90200261669208,-0.030790413891416655,1.539902253703352e-05,0.003173805605024633,25.000000000002167,-0.030790413891416655,4.94513684029409,-0.018782686421431213,-6.530328554415852e-16,-5.143926067870919e-12,1.539902253703352e-05,-0.018782686421431213,4.9452201844492585,1,0,25,0,6.530328554415852e-16,0.000641802992753099,4.314353755363598e-07,False,False
analytic_candidate,pure_x_shear,0.8164983067578444,0.0012836522439905172,4.8756432131216275e-06,4.074165466643671e-06,9.190483815033956e-06,0.006347611210048762,4.907408037343269,4.982541577900611,22.90220027931121,-1.2046231525307538e-15,-9.488791237117283e-12,22.90198910107052,-0.061580450840040116,6.15981994530712e-05,0.006347611210048762,50.000000000000355,-0.061580450840040116,4.944913699759076,-0.037566215631526644,-1.562587587551216e-16,-1.230846956314471e-12,6.15981994530712e-05,-0.037566215631526644,4.945247093725496,2,0,50,0,1.2046231525307538e-15,0.0012836615034341077,1.7258297698719005e-06,False,False
analytic_candidate,pure_x_shear,0.8165121218790616,0.003852512647720057,4.391059401533875e-05,3.668971380576321e-05,8.276448849974656e-05,0.019042833630144994,4.830342498273893,5.055823742128215,22.903744553540644,2.8624902470054947e-15,2.25477754724011e-11,22.901844467677154,-0.18472928218260654,0.0005545864940815476,0.019042833630144994,149.99999999999088,-0.18472928218260654,4.942532056768337,-0.11272564213201193,-3.3175781796756544e-16,-2.6132493546735297e-12,0.0005545864940815476,-0.11272564213201193,4.94553426949726,3,0,150,0,2.8624902470054947e-15,0.00385276288410149,1.5540950987102953e-05,False,False
analytic_candidate,pure_x_shear,0.8164965809280743,1.5331299521676388e-15,-8.207042664671315e-16,2.803414209104628e-15,6.323928943621793e-15,9.353982396932178e-15,4.945211215202407,4.9452112152025105,22.90200712023433,-3.982333805135953e-15,-3.136875962749292e-11,22.90200712023433,-7.202376422079301e-14,3.975132862900398e-14,7.338755498653143e-15,5.7807222715809814e-11,-7.202376422079301e-14,4.945211215202482,-4.7031474385507214e-14,-4.216713397609176e-15,-3.321496274798479e-11,3.975132862900398e-14,-4.7031474385507214e-14,4.945211215202435,4,0,0,0,7.338755498653143e-15,1.7527338168102564e-15,-2.220446049250313e-16,True,False
analytic_candidate,pure_x_shear,0.8164983067578446,-0.0012836522439904176,4.8756432133111655e-06,4.074165466797721e-06,9.190483815381462e-06,0.006347611210048128,4.907408037343264,4.9825415779006015,22.902200279311113,2.253054276620762e-15,1.7747261151202973e-11,22.901989101070424,0.061580450840035106,6.159819943948874e-05,-0.006347611210048128,-49.99999999999536,0.061580450840035106,4.944913699759058,0.0375662156315235,6.596584596515716e-16,5.196115812884741e-12,6.159819943948874e-05,0.0375662156315235,4.945247093725497,5,0,-50,0,2.253054276620762e-15,0.0012836615034339453,1.7258297700939451e-06,False,False
analytic_candidate,pure_x_shear,0.8164965809280745,6.941990994782658e-17,2.4445769558814358e-17,1.953748244433702e-15,4.407256348847105e-15,1.850865577882385e-15,4.945211215202438,4.945211215202446,22.902007120234295,-1.8392290168978817e-15,-1.4487568283847097e-11,22.902007120234295,-1.2208101129257066e-15,1.269910241158289e-15,1.767024007279062e-16,1.3918810941679433e-12,-1.2208101129257066e-15,4.945211215202442,-4.054317290348607e-15,-1.0824173117490731e-16,-8.526178399486173e-13,1.269910241158289e-15,-4.054317290348607e-15,4.945211215202441,6,0,0,0,1.8392290168978817e-15,1.1556636813574745e-16,0.0,True,False
analytic_candidate,mixed_traction,0.8164965809280745,-3.179111253682361e-17,-3.133876567899808e-17,2.039121425684851e-15,4.599840780419792e-15,3.265141628562319e-15,4.945211215202439,4.945211215202441,22.902007120234316,-3.254459695538405e-15,-2.563531057468017e-11,22.902007120234316,1.4651615853800924e-15,-1.100344689354613e-15,-2.432759219466966e-16,-1.916279320648795e-12,1.4651615853800924e-15,4.945211215202443,-1.59462296517839e-16,-1.022681303615499e-16,-8.055639119772509e-13,-1.100344689354613e-15,-1.59462296517839e-16,4.945211215202439,0,0,0,0,3.254459695538405e-15,0.0,0.0,False,False
analytic_candidate,mixed_traction,0.8166358883931835,0.0006441348949687257,0.0003863832014726274,1.6131819149538151e-06,3.6390083813415246e-06,0.004875692685519453,4.9164929618605235,4.960470868051047,22.85731017093279,0.0031738056050256364,25.000000000010065,22.857238466229393,-0.03075506104761155,-0.018454269297067574,0.0031738056050243167,24.999999999999673,-0.03075506104761155,4.927225420556589,-0.018826139723297348,0.0019042833630140183,14.999999999995298,-0.018454269297067574,-0.018826139723297348,4.949810114058373,1,25,25,15,1.2784912017949068e-15,0.0007511336374418826,0.00013930746510892877,False,False
analytic_candidate,mixed_traction,0.8167764678422208,0.0012920289686995758,0.0006472391355864469,6.0308437788604145e-06,1.3604349797377164e-05,0.009521416815068042,4.889310804769463,4.973922475915317,22.812703170487307,0.006347611210041174,49.99999999994059,22.812439848750675,-0.06145123752214484,-0.030710200501135272,0.006347611210048825,50.00000000000085,-0.06145123752214484,4.912853092138603,-0.03770690313585147,0.003173805605024129,24.999999999998195,-0.030710200501135272,-0.03770690313585147,4.950643510282814,2,50,50,25,7.541710311809169e-15,0.00144508039727681,0.00027988691414626565,False,False
analytic_candidate,mixed_traction,0.8173416805483207,0.0025689265305297833,-0.0012795168624972183,2.8457467499152233e-05,6.419422495455747e-05,0.023750586372440787,4.821642593823968,4.986601292256652,22.634126868162458,0.019042833630138502,149.99999999993977,22.633054871281946,-0.1229984762771982,0.06156106939877297,0.01269522242009619,99.99999999999021,-0.1229984762771982,4.941645383500051,-0.07431036156641499,-0.00634761121004769,-49.999999999991914,0.06156106939877297,-0.07431036156641499,4.867670499461074,3,150,100,-50,7.643191635153812e-15,0.0028699384872632023,0.000845099620246148,False,False
analytic_candidate,mixed_traction,0.8164965809280748,1.7288404475191411e-16,-1.115861083544415e-16,3.2170715073683034e-15,7.257055184023332e-15,2.1307361038353616e-15,4.945211215202425,4.945211215202442,22.902007120234302,-1.974247909953871e-15,-1.5551109264761655e-11,22.902007120234302,-9.182599558043987e-15,2.01659193810345e-15,7.958110134541616e-16,6.268586615657372e-12,-9.182599558043987e-15,4.945211215202437,-7.211455497774252e-15,-9.521746213446622e-17,-7.500259466406059e-13,2.01659193810345e-15,-7.211455497774252e-15,4.945211215202431,4,0,0,0,1.974247909953871e-15,2.1984439046207107e-16,2.220446049250313e-16,True,False
analytic_candidate,compression_shear,0.8164965809280745,-3.179111253682361e-17,-3.133876567899808e-17,2.039121425684851e-15,4.599840780419792e-15,3.265141628562319e-15,4.945211215202439,4.945211215202441,22.902007120234316,-3.254459695538405e-15,-2.563531057468017e-11,22.902007120234316,1.4651615853800924e-15,-1.100344689354613e-15,-2.432759219466966e-16,-1.916279320648795e-12,1.4651615853800924e-15,4.945211215202443,-1.59462296517839e-16,-1.022681303615499e-16,-8.055639119772509e-13,-1.100344689354613e-15,-1.59462296517839e-16,4.945211215202439,0,0,0,0,3.254459695538405e-15,0.0,0.0,False,False
analytic_candidate,compression_shear,0.8162218344496227,0.0012831276437602157,0.00038848098063136004,5.312353592476284e-06,1.1983582922961552e-05,0.009176635073628219,4.918775059167895,4.997725690082003,22.991686413536744,-0.006347611210050084,-50.000000000010765,22.99145745240551,-0.06161069998449638,-0.018438297369316282,0.006347611210048631,49.99999999999933,-0.06161069998449638,4.946935594051506,-0.03769270428014927,0.0019042833630148308,15.0000000000017,-0.018438297369316282,-0.03769270428014927,4.969794116329631,1,-50,50,15,1.3678294608077124e-15,0.0013406468671854092,-0.0002747464784518261,False,False
analytic_candidate,compression_shear,0.8156771823629787,0.0025567966195959167,0.0006548297258658831,2.5017864922606953e-05,5.6435185203054604e-05,0.023105653571789755,4.90570933541595,5.062486183447801,23.17101517279848,-0.019042833630142985,-149.99999999997507,23.170128237168377,-0.12343694158633589,-0.030659738198696426,0.012695222420098259,100.00000000000651,-0.12343694158633589,4.965094980012768,-0.07563018880143801,0.003173805605025361,25.000000000007898,-0.030659738198696426,-0.07563018880143801,5.003987474481083,2,-150,100,25,3.1606661732297425e-15,0.002639320163196367,-0.0008193985650958302,False,False
analytic_candidate,compression_shear,0.8164965809280743,3.4112866754013165e-16,-3.148728965201048e-16,2.803414209104739e-15,6.323928943622045e-15,3.9060063965891315e-15,4.945211215202444,4.945211215202473,22.902007120234316,-3.211130003632021e-15,-2.529400350283407e-11,22.902007120234316,-1.1942283055796592e-14,1.937949917185118e-14,1.262165032490942e-15,9.942047415355604e-12,-1.1942283055796592e-14,4.945211215202469,-1.0871294731470715e-14,-1.8309750136816633e-15,-1.4422551674109315e-11,1.937949917185118e-14,-1.0871294731470715e-14,4.945211215202448,3,0,0,0,3.211130003632021e-15,4.684663976471167e-16,-2.220446049250313e-16,True,False
