j,lower_layer,y_over_L0,raw_delta_x,raw_delta_y,raw_delta_z,affine_subtracted_delta_x,affine_subtracted_delta_y,affine_subtracted_delta_z,both_rows_free
-18,0,-15.444119700822489,0.9914140444544532,0.0,0.0,0.9914140444544532,0.0,0.0,False
-17,0,-14.57809429703805,0.9909092071497969,0.0,0.0,0.9909092071497969,0.0,0.0,False
-16,0,-13.712068893253612,0.9903413101252472,0.0,0.0,0.9903413101252472,0.0,0.0,False
-15,0,-12.84604348946917,0.9896977546317836,0.0,0.0,0.9896977546317836,0.0,0.0,False
-14,0,-11.980018085684733,0.9889623474982353,0.0,0.0,0.9889623474982353,0.0,0.0,False
-13,0,-11.113992681900296,0.9881139213492505,0.0,0.0,0.9881139213492505,0.0,0.0,False
-12,0,-10.247967278115857,0.9871242666958682,0.0,0.0,0.9871242666958682,0.0,0.0,False
-11,0,-9.381941874331417,0.9859549394558582,0.0,0.0,0.9859549394558582,0.0,0.0,False
-10,0,-8.51591647054698,0.9845521598119251,0.0,0.0,0.9845521598119251,0.0,0.0,False
-9,0,-7.649891066762541,0.9828383249644312,0.0,0.0,0.9828383249644312,0.0,0.0,False
-8,0,-6.783865662978103,0.9806971903212367,0.0,0.0,0.9806971903212367,0.0,0.0,False
-7,0,-5.917840259193664,0.9779464345120836,0.0,0.0,0.9779464345120836,0.0,0.0,False
-6,0,-5.0518148554092255,0.9742830319368372,0.0,0.0,0.9742830319368372,0.0,0.0,False
-5,0,-4.185789451624787,0.9691638671258577,0.0,0.0,0.9691638671258577,0.0,0.0,False
-4,0,-3.319764047840348,0.9633659795975562,0.002473590994412869,0.0003508350759470055,0.9633659795975562,0.002473590994412869,0.0003508350759470055,True
-3,0,-2.4537386440559095,0.9564503464363995,0.006110923862768957,0.001315172799748031,0.9564503464363995,0.006110923862768957,0.001315172799748031,True
-2,0,-1.5877132402714706,0.9444658562083097,0.011095373190642226,0.00485640770908213,0.9444658562083097,0.011095373190642226,0.00485640770908213,True
-1,0,-0.7216878364870323,0.9047189459841706,0.016088710003715322,0.007877890880726887,0.9047189459841706,0.016088710003715322,0.007877890880726887,True
0,0,0.14433756729740643,0.7428152060173682,0.014773956087511537,0.018192174619305335,0.7428152060173682,0.014773956087511537,0.018192174619305335,True
1,0,1.010362971081845,0.24183930814131943,0.015181245765633664,0.016513587828875118,0.24183930814131943,0.015181245765633664,0.016513587828875118,True
2,0,1.8763883748662837,0.08441191801677833,0.01521397120568678,0.006584644416918542,0.08441191801677833,0.01521397120568678,0.006584644416918542,True
3,0,2.7424137786507226,0.048049916934572376,0.008770892155923844,0.003480492641711461,0.048049916934572376,0.008770892155923844,0.003480492641711461,True
4,0,3.608439182435161,0.0377371165689989,0.003167483933901138,0.0010327302873218574,0.0377371165689989,0.003167483933901138,0.0010327302873218574,True
5,0,4.474464586219599,0.03083613287414235,0.0,0.0,0.03083613287414235,0.0,0.0,False
6,0,5.340489990004038,0.02571696806316287,0.0,0.0,0.02571696806316287,0.0,0.0,False
7,0,6.206515393788477,0.022053565487916392,0.0,0.0,0.022053565487916392,0.0,0.0,False
8,0,7.072540797572915,0.019302809678763293,0.0,0.0,0.019302809678763293,0.0,0.0,False
9,0,7.938566201357354,0.017161675035568747,0.0,0.0,0.017161675035568747,0.0,0.0,False
10,0,8.804591605141791,0.015447840188074886,0.0,0.0,0.015447840188074886,0.0,0.0,False
11,0,9.670617008926232,0.014045060544141884,0.0,0.0,0.014045060544141884,0.0,0.0,False
12,0,10.53664241271067,0.012875733304131824,0.0,0.0,0.012875733304131824,0.0,0.0,False
13,0,11.402667816495107,0.01188607865074953,0.0,0.0,0.01188607865074953,0.0,0.0,False
14,0,12.268693220279548,0.011037652501764757,0.0,0.0,0.011037652501764757,0.0,0.0,False
15,0,13.134718624063986,0.010302245368216504,0.0,0.0,0.010302245368216504,0.0,0.0,False
16,0,14.000744027848423,0.009658689874752796,0.0,0.0,0.009658689874752796,0.0,0.0,False
17,0,14.866769431632862,0.00909079285020318,0.0,0.0,0.00909079285020318,0.0,0.0,False
18,0,15.732794835417302,0.008585955545546847,0.0,0.0,0.008585955545546847,0.0,0.0,False
