j,lower_layer,y_over_L0,raw_delta_x,raw_delta_y,raw_delta_z,affine_subtracted_delta_x,affine_subtracted_delta_y,affine_subtracted_delta_z,both_rows_free
-19,0,-16.310145104606928,0.9918657710858574,0.0,0.0,0.9918657710858574,0.0,0.0,False
-18,0,-15.444119700822489,0.9914140444544532,0.0,0.0,0.9914140444544532,0.0,0.0,False
-17,0,-14.57809429703805,0.9909092071497969,0.0,0.0,0.9909092071497969,0.0,0.0,False
-16,0,-13.712068893253612,0.9903413101252472,0.0,0.0,0.9903413101252472,0.0,0.0,False
-15,0,-12.84604348946917,0.9896977546317836,0.0,0.0,0.9896977546317836,0.0,0.0,False
-14,0,-11.980018085684733,0.9889623474982352,0.0,0.0,0.9889623474982352,0.0,0.0,False
-13,0,-11.113992681900296,0.9881139213492505,0.0,0.0,0.9881139213492505,0.0,0.0,False
-12,0,-10.247967278115857,0.9871242666958682,0.0,0.0,0.9871242666958682,0.0,0.0,False
-11,0,-9.381941874331417,0.9859549394558582,0.0,0.0,0.9859549394558582,0.0,0.0,False
-10,0,-8.51591647054698,0.9845521598119251,0.0,0.0,0.9845521598119251,0.0,0.0,False
-9,0,-7.649891066762541,0.9831326380274659,0.000362695165844223,0.0001845636609591109,0.9831326380274659,0.000362695165844223,0.0001845636609591109,True
-8,0,-6.783865662978103,0.9814191882292373,0.0011331176701437338,3.087412317068325e-06,0.9814191882292373,0.0011331176701437338,3.087412317068325e-06,True
-7,0,-5.917840259193664,0.9792715661402935,0.0021335507099020197,-4.4218548256287865e-05,0.9792715661402935,0.0021335507099020197,-4.4218548256287865e-05,True
-6,0,-5.0518148554092255,0.9764916722598636,0.003421095233884084,0.00012402258065823807,0.9764916722598636,0.003421095233884084,0.00012402258065823807,True
-5,0,-4.185789451624787,0.9727608995308135,0.005071708268548289,0.0005478318672147173,0.9727608995308135,0.005071708268548289,0.0005478318672147173,True
-4,0,-3.319764047840348,0.9673682024390431,0.007279786528825083,0.0013696351220184935,0.9673682024390431,0.007279786528825083,0.0013696351220184935,True
-3,0,-2.4537386440559095,0.9585756169165671,0.010100503303071303,0.0028805617925774098,0.9585756169165671,0.010100503303071303,0.0028805617925774098,True
-2,0,-1.5877132402714706,0.9416364391383056,0.014670318021047716,0.005574259056975206,0.9416364391383056,0.014670318021047716,0.005574259056975206,True
-1,0,-0.7216878364870323,0.8966368422443327,0.02208380168767539,0.009870173350694997,0.8966368422443327,0.02208380168767539,0.009870173350694997,True
0,0,0.14433756729740643,0.7461108584455494,0.02796765945772792,0.021851033837709425,0.7461108584455494,0.02796765945772792,0.021851033837709425,True
1,0,1.010362971081845,0.24610911610830383,0.028263777756729586,0.02064751652841749,0.24610911610830383,0.028263777756729586,0.02064751652841749,True
2,0,1.8763883748662837,0.09802113921699497,0.021998015517631937,0.009089339777848864,0.09802113921699497,0.021998015517631937,0.009089339777848864,True
3,0,2.7424137786507226,0.05477563182562298,0.01451479745624568,0.005102278009294696,0.05477563182562298,0.01451479745624568,0.005102278009294696,True
4,0,3.608439182435161,0.03888738841848885,0.009921340463972876,0.002545527338582555,0.03888738841848885,0.009921340463972876,0.002545527338582555,True
5,0,4.474464586219599,0.030631695688407314,0.006987805553477404,0.001115085712533688,0.030631695688407314,0.006987805553477404,0.001115085712533688,True
6,0,5.340489990004038,0.02547029529008228,0.004700826946907883,0.0003577002082241871,0.02547029529008228,0.004700826946907883,0.0003577002082241871,True
7,0,6.206515393788477,0.021861770578968695,0.0029522192485163835,2.8078842463291035e-05,0.021861770578968695,0.0029522192485163835,2.8078842463291035e-05,True
8,0,7.072540797572915,0.019176494883586373,0.0015836482197315047,-1.0194437950673168e-06,0.019176494883586373,0.0015836482197315047,-1.0194437950673168e-06,True
9,0,7.938566201357354,0.017101377058547123,0.0005343617814534159,0.00019585973467766056,0.017101377058547123,0.0005343617814534159,0.00019585973467766056,True
10,0,8.804591605141791,0.015447840188074897,0.0,0.0,0.015447840188074897,0.0,0.0,False
11,0,9.670617008926232,0.014045060544141893,0.0,0.0,0.014045060544141893,0.0,0.0,False
12,0,10.53664241271067,0.012875733304131833,0.0,0.0,0.012875733304131833,0.0,0.0,False
13,0,11.402667816495107,0.011886078650749539,0.0,0.0,0.011886078650749539,0.0,0.0,False
14,0,12.268693220279548,0.011037652501764764,0.0,0.0,0.011037652501764764,0.0,0.0,False
15,0,13.134718624063986,0.010302245368216511,0.0,0.0,0.010302245368216511,0.0,0.0,False
16,0,14.000744027848423,0.009658689874752801,0.0,0.0,0.009658689874752801,0.0,0.0,False
17,0,14.866769431632862,0.009090792850203186,0.0,0.0,0.009090792850203186,0.0,0.0,False
18,0,15.732794835417302,0.008585955545546852,0.0,0.0,0.008585955545546852,0.0,0.0,False
19,0,16.59882023920174,0.0081342289141427,0.0,0.0,0.0081342289141427,0.0,0.0,False
