j,lower_layer,y_over_L0,raw_delta_x,raw_delta_y,raw_delta_z,affine_subtracted_delta_x,affine_subtracted_delta_y,affine_subtracted_delta_z,both_rows_free
-17,0,-14.57809429703805,0.9909092071497969,0.0,0.0,0.9909092071497969,0.0,0.0,False
-16,0,-13.712068893253612,0.9903413101252472,0.0,0.0,0.9903413101252472,0.0,0.0,False
-15,0,-12.84604348946917,0.9896977546317836,0.0,0.0,0.9896977546317836,0.0,0.0,False
-14,0,-11.980018085684733,0.9889623474982353,0.0,0.0,0.9889623474982353,0.0,0.0,False
-13,0,-11.113992681900296,0.9881139213492505,0.0,0.0,0.9881139213492505,0.0,0.0,False
-12,0,-10.247967278115857,0.9871242666958682,0.0,0.0,0.9871242666958682,0.0,0.0,False
-11,0,-9.381941874331417,0.9859549394558582,0.0,0.0,0.9859549394558582,0.0,0.0,False
-10,0,-8.51591647054698,0.9845521598119251,0.0,0.0,0.9845521598119251,0.0,0.0,False
-9,0,-7.649891066762541,0.9828383249644312,0.0,0.0,0.9828383249644312,0.0,0.0,False
-8,0,-6.783865662978103,0.9806971903212367,0.0,0.0,0.9806971903212367,0.0,0.0,False
-7,0,-5.917840259193664,0.9783496376412384,0.00041003011314595254,0.00038450809153617397,0.9783496376412384,0.00041003011314595254,0.00038450809153617397,False
-6,0,-5.0518148554092255,0.9750968475726305,0.0019175766896654864,0.0001281561626393287,0.9750968475726305,0.0019175766896654864,0.0001281561626393287,True
-5,0,-4.185789451624787,0.9708705802931841,0.0042096204781063955,6.52275468203286e-05,0.9708705802931841,0.0042096204781063955,6.52275468203286e-05,True
-4,0,-3.319764047840348,0.9652544315173595,0.006849432276893875,0.0009293873052118271,0.9652544315173595,0.006849432276893875,0.0009293873052118271,True
-3,0,-2.4537386440559095,0.9577382428192805,0.009800604163556981,0.0028632851635353816,0.9577382428192805,0.009800604163556981,0.0028632851635353816,True
-2,0,-1.5877132402714706,0.9454019664089569,0.013878259024827783,0.006354122840488987,0.9454019664089569,0.013878259024827783,0.006354122840488987,True
-1,0,-0.7216878364870323,0.9059014977929495,0.018577462738439778,0.00911247928397152,0.9059014977929495,0.018577462738439778,0.00911247928397152,True
0,0,0.14433756729740643,0.745036352129672,0.01722405072363,0.018018254616649878,0.745036352129672,0.01722405072363,0.018018254616649878,True
1,0,1.010362971081845,0.24559372510049804,0.01768045233389383,0.017072208839476036,0.24559372510049804,0.01768045233389383,0.017072208839476036,True
2,0,1.8763883748662837,0.08757908424776088,0.018529192895097118,0.008309519592346526,0.08757908424776088,0.018529192895097118,0.008309519592346526,True
3,0,2.7424137786507226,0.05000984402588059,0.01335425945453472,0.005642486955517663,0.05000984402588059,0.01335425945453472,0.005642486955517663,True
4,0,3.608439182435161,0.03862878584616065,0.008967754899504314,0.00236578963709324,0.03862878584616065,0.008967754899504314,0.00236578963709324,True
5,0,4.474464586219599,0.031568811776049865,0.005842263181569119,0.0006984573258468037,0.031568811776049865,0.005842263181569119,0.0006984573258468037,True
6,0,5.340489990004038,0.026236664624096573,0.0027778288445105713,0.00025785380358322443,0.026236664624096573,0.0027778288445105713,0.00025785380358322443,True
7,0,6.206515393788477,0.022260622943081988,0.0007479925683345697,0.0004574585504717679,0.022260622943081988,0.0007479925683345697,0.0004574585504717679,False
8,0,7.072540797572915,0.019302809678763293,0.0,0.0,0.019302809678763293,0.0,0.0,False
9,0,7.938566201357354,0.017161675035568747,0.0,0.0,0.017161675035568747,0.0,0.0,False
10,0,8.804591605141791,0.015447840188074886,0.0,0.0,0.015447840188074886,0.0,0.0,False
11,0,9.670617008926232,0.014045060544141884,0.0,0.0,0.014045060544141884,0.0,0.0,False
12,0,10.53664241271067,0.012875733304131824,0.0,0.0,0.012875733304131824,0.0,0.0,False
13,0,11.402667816495107,0.01188607865074953,0.0,0.0,0.01188607865074953,0.0,0.0,False
14,0,12.268693220279548,0.011037652501764757,0.0,0.0,0.011037652501764757,0.0,0.0,False
15,0,13.134718624063986,0.010302245368216504,0.0,0.0,0.010302245368216504,0.0,0.0,False
16,0,14.000744027848423,0.009658689874752796,0.0,0.0,0.009658689874752796,0.0,0.0,False
17,0,14.866769431632862,0.00909079285020318,0.0,0.0,0.00909079285020318,0.0,0.0,False
