cycle,segment,period_model,same_phase_L1,normal_mean,normal_amplitude,registry_shear_amplitude,registry_index_increment,cycle_net_transfer,cycle_gross_grid_traffic,external_work_ev_cell,raw_mass,mass_residual,mean_well_index,outside_central_mass,normal_strain,registry_shear,intrawell_shear,registry_index_shear,cumulative_net_transfer,cumulative_gross_grid_traffic,outer_well_mass,upper_normal_edge_mass,P_-3,P_-2,P_-1,P_+0,P_+1,P_+2,P_+3
1,cyclic,40.0,0.0031415689402979996,0.018402165056425328,3.400058012914542e-16,5.56421411170857e-17,-4.8346227114359486e-17,-1.5582607667758443e-17,0.016706228879703106,0.0,0.9999999999998026,-1.9739765377835283e-13,-4.8346227114359486e-17,0.0015707844700501709,0.01840216505642512,-2.7661849223680393e-16,-2.1686280371171288e-16,-5.921179370944476e-17,-1.5582607667758443e-17,0.016706228879703106,7.780769067787529e-15,1.0576887428396091e-11,3.890384533893842e-15,2.785209210675562e-08,0.0007853643829291124,0.9984292155297523,0.0007853643829290641,2.785209210675487e-08,3.890384533893687e-15
2,cyclic,40.0,0.00276781123853796,0.01840216505642533,4.0766001685454967e-16,5.4869732532067803e-17,-7.078379097374677e-17,-1.9044882812915797e-17,0.01670622887969992,0.0,0.9999999999996045,-3.9546144137148076e-13,-1.1913001808810625e-16,0.002954649795392936,0.018402165056425255,-3.667990910395003e-16,-2.1942524471659252e-16,-1.4590387868219537e-16,-3.462749048067424e-17,0.033412457759403026,2.237203817468242e-11,1.0576887428393996e-11,1.118601908734158e-11,3.939560776850552e-07,0.0014769309304328237,0.9970453502042118,0.0014769309304327046,3.9395607768503384e-07,1.1186019087340842e-11
3,cyclic,40.0,0.002762043163378498,0.018402165056425324,2.723515857283587e-16,5.533552479895951e-17,-7.955768175083951e-17,-2.066519622450192e-17,0.016706228879620547,0.0,0.9999999999994049,-5.950795411990839e-13,-1.9868769983894576e-16,0.004335622418716228,0.018402165056425255,-4.517231878016936e-16,-2.0803576793741235e-16,-2.4334174138634027e-16,-5.529268670517616e-17,0.05011868663902357,3.5727757948003665e-10,1.0576887428391894e-11,1.7863878974002644e-10,1.2374938738034215e-06,0.0021665735368456202,0.9956643775806886,0.0021665735368454216,1.237493873803331e-06,1.7863878974001018e-10
4,cyclic,40.0,0.002756298363278705,0.018402165056425335,3.400058012914542e-16,7.107507601702094e-17,-9.08288203821611e-17,-1.9363944339208752e-17,0.016706228878273423,0.0,0.9999999999992086,-7.913669719528116e-13,-2.8951652022110687e-16,0.005713722588487117,0.018402165056425255,-5.853250402745026e-16,-2.317682859264146e-16,-3.545838733239399e-16,-7.465663104438491e-17,0.066824915517297,1.6137261762379928e-09,1.0576887428389805e-11,8.068630881190423e-10,2.5585401146307035e-06,0.002854301947265984,0.9942862774107215,0.0028543019472656948,2.5585401146304875e-06,8.068630881189506e-10
5,cyclic,40.0,0.0027505667160017465,0.018402165056425328,3.400058012914542e-16,7.743459281870978e-17,-1.1029984829235276e-16,-1.9616615213462536e-17,0.01670622887181461,0.0,0.9999999999990095,-9.905409825705647e-13,-3.9981636851345963e-16,0.007088956957146397,0.01840216505642553,-7.269627170751321e-16,-2.3661864615747557e-16,-4.896730468352693e-16,-9.427324625784745e-17,0.0835311443891116,4.452502378996086e-09,1.0576887428387705e-11,2.2262511894981933e-09,4.355109377781696e-06,0.0035401211429444274,0.9929110430418632,0.0035401211429440284,4.3551093777812766e-06,2.2262511894978926e-09
6,cyclic,40.0,0.002744848316281504,0.018402165056425335,2.723515857283587e-16,7.054924426815571e-17,-1.1580021100458226e-16,-1.8340074420006787e-17,0.01670622885493825,0.0,0.9999999999988123,-1.1877165917439925e-12,-5.156165795180419e-16,0.008461332149125058,0.018402165056425394,-8.68313942005687e-16,-2.3686632523038186e-16,-6.314987613691952e-16,-1.1261332067785424e-16,0.10023737324404985,9.532789174030283e-09,1.0576887428385617e-11,4.766394587015514e-09,6.625217607560018e-06,0.004224036090560639,0.9915386678496872,0.004224036090560125,6.625217607559307e-06,4.7663945870147685e-09
7,cyclic,40.0,0.002739143133087959,0.01840216505642533,4.753142324176451e-16,9.600637368620893e-17,-1.409194255232849e-16,-2.47925178813323e-17,0.016706228822136834,0.0,0.9999999999986138,-1.3862244685469705e-12,-6.565360050413268e-16,0.009830854772726957,0.01840216505642512,-1.0605490818440637e-15,-2.5699984584341154e-16,-8.040891050582874e-16,-1.3740583855918654e-16,0.11694360206618669,1.751057741774723e-08,1.0576887428383512e-11,8.755288708874395e-09,9.366887152976794e-06,0.00490605174392212,0.9901691452258867,0.004906051743921466,9.366887152975693e-06,8.755288708872835e-09
8,cyclic,40.0,0.0027334511343437844,0.018402165056425328,3.400058012914542e-16,9.661558640051179e-17,-1.5035524351559265e-16,-1.4528770678087564e-17,0.016706228767917483,0.0,0.9999999999984158,-1.5841772338376359e-12,-8.068912485569194e-16,0.01119753142021507,0.018402165056425255,-1.2497464573051286e-15,-2.605596165600109e-16,-9.88235918440843e-16,-1.519346092372741e-16,0.13364983083410417,2.903865824937678e-08,1.0576887428381425e-11,1.4519329124689852e-08,1.2578146771460701e-05,0.005586173044007352,0.9888024685782006,0.005586173044006548,1.2578146771459104e-05,1.4519329124686926e-08
9,cyclic,40.0,0.0027277722880518977,0.01840216505642532,3.400058012914542e-16,9.86268442121278e-17,-1.5842847335462515e-16,-2.1967412366513604e-17,0.016706228686813873,0.0,0.9999999999982178,-1.7822410214307638e-12,-9.653197219115446e-16,0.012561368667851893,0.01840216505642512,-1.4440779216943635e-15,-2.5987039442799474e-16,-1.1822703786643192e-15,-1.739020216037877e-16,0.15035605952091805,4.476663403800113e-08,1.0576887428379325e-11,2.2383317019003066e-08,1.625703161011828e-05,0.006264404918999291,0.9874386313303658,0.00626440491899833,1.625703161011606e-05,2.2383317018998063e-08
10,cyclic,40.0,0.0027221065622885002,0.01840216505642534,3.400058012914542e-16,1.0188220308391454e-16,-1.8207979052911034e-16,-2.003430450986698e-17,0.016706228573386078,0.0,0.9999999999980212,-1.9787504967894165e-12,-1.147399512440655e-15,0.013922373075939333,0.018402165056425394,-1.640796052751728e-15,-2.357456098446055e-16,-1.4052716682989019e-15,-1.9393632611365468e-16,0.16706228809430412,6.53409294600919e-08,1.0576887428377252e-11,3.2670464730049945e-08,2.0401583186886424e-05,0.006940752284318622,0.9860776269220819,0.006940752284317481,2.0401583186883452e-05,3.267046473004195e-08
