model,ring,maximum_free_transverse_displacement,pair_gradient_norm_bound_eV_L0,repulsive_bound,attractive_bound,row_map_minimum_singular_value,maximum_pair_transverse_displacement,pair_phase_representative_displacement_bound,exact_infinite_shell_majorant,environmental_force_tail_certified,infinite_free_domain_certified,force_modified
unchanged,3,0.03135513873685786,0.013603254630688242,3.248302304936934e-05,0.013570771607638872,0.7071067811865474,0.06271027747371571,0.5039172341772311,True,False,False,False
unchanged,5,0.03135513873685786,0.0012175300127000943,2.0852950440630225e-07,0.001217321483195688,0.7071067811865474,0.06271027747371571,0.5039172341772311,True,False,False,False
unchanged,7,0.03135513873685786,0.000235916239119693,6.333468790696261e-09,0.0002359099056509023,0.7071067811865474,0.06271027747371571,0.5039172341772311,True,False,False,False
unchanged,9,0.03135513873685786,6.823015448663785e-05,4.4081811255867683e-10,6.822971366852529e-05,0.7071067811865474,0.06271027747371571,0.5039172341772311,True,False,False,False
unchanged,13,0.03135513873685786,1.0966505153593681e-05,8.456965778621684e-12,1.0966496696627904e-05,0.7071067811865474,0.06271027747371571,0.5039172341772311,True,False,False,False
joint_trial,3,0.0385162055210085,0.06998299945867223,0.00015940483439677412,0.06982359462427545,0.7071067811865474,0.077032411042017,0.5058991918860379,True,False,False,False
joint_trial,5,0.0385162055210085,0.0061828573358723915,9.986696926231967e-07,0.006181858666179769,0.7071067811865474,0.077032411042017,0.5058991918860379,True,False,False,False
joint_trial,7,0.0385162055210085,0.0011906759094085905,2.99744392681034e-08,0.0011906459349693224,0.7071067811865474,0.077032411042017,0.5058991918860379,True,False,False,False
joint_trial,9,0.0385162055210085,0.0003431381152239201,2.071816364185404e-09,0.0003431360434075559,0.7071067811865474,0.077032411042017,0.5058991918860379,True,False,False,False
joint_trial,13,0.0385162055210085,5.4936423841371854e-05,3.944013927373455e-11,5.493638440123258e-05,0.7071067811865474,0.077032411042017,0.5058991918860379,True,False,False,False
