model,case,load_fraction,sigma_xx_MPa,sigma_yy_MPa,sigma_zz_MPa,sigma_xy_MPa,sigma_xz_MPa,sigma_yz_MPa,local_normal_MPa,local_shear1_MPa,local_shear2_MPa,a_over_L0,s1_over_L0,s2_over_L0,delta_a_angstrom,delta_s1_angstrom,delta_s2_angstrom,local_normal_opening_over_h,conjugate_work_eV_cell,force_residual,minimum_H,local_equilibrium_verified,dynamic_plasticity_inferred
source_Al99_only,normal_xx50MPa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8164983416260692,-2.2615382587845332e-18,1.322951217031349e-16,0.0,0.0,0.0,0.0,0.0,4.0024300145742074e-15,4.39354662111037,True,False
source_Al99_only,normal_xx50MPa,0.5,25.0,0.0,0.0,0.0,0.0,0.0,8.333333333333336,-10.206207261596575,-5.892556509887896,0.8165522365089141,-0.0002948332822848949,-0.00017022207489308456,0.00015434322038009764,-0.0008443383835536972,-0.00048747899303178377,6.600748135855045e-05,5.663715523249635e-07,1.3138361926179343e-15,4.3870101381416085,True,False
source_Al99_only,normal_xx50MPa,1.0,50.0,0.0,0.0,0.0,0.0,0.0,16.66666666666667,-20.41241452319315,-11.785113019775793,0.8166063029648427,-0.0005895144103838187,-0.000340356303526356,0.00030917778874867206,-0.0016882410306178226,-0.000974706413484825,0.0001322250959714808,2.265323512277715e-06,1.6267369395972509e-15,4.380491284207618,True,False
source_Al99_only,normal_xx50MPa,0.5,25.0,0.0,0.0,0.0,0.0,0.0,8.333333333333336,-10.206207261596575,-5.892556509887896,0.8165522365089141,-0.0002948332822846828,-0.00017022207489303045,0.00015434322038009764,-0.0008443383835530899,-0.00048747899303162883,6.600748135855045e-05,5.663715523246483e-07,2.2661993809292014e-15,4.3870101381416164,True,False
source_Al99_only,normal_xx50MPa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8164983416260694,3.35870654251877e-17,3.6841554539428825e-17,6.358874457669288e-16,1.0266260258207355e-16,-2.733582517511036e-16,2.7194799110210365e-16,0.0,4.747838632583785e-15,4.393546621110354,True,False
source_Al99_only,normal_xx50MPa,-0.5,-25.0,-0.0,-0.0,-0.0,-0.0,-0.0,-8.333333333333336,10.206207261596575,5.892556509887896,0.8164446170515951,0.00029498615279376425,0.00017031033472247924,-0.00015385549425421695,0.0008447761714362434,0.000487731749982705,-6.579889705479635e-05,5.664554763404228e-07,1.1180292802670522e-15,4.389864551642659,True,False
source_Al99_only,normal_xx50MPa,-1.0,-50.0,-0.0,-0.0,-0.0,-0.0,-0.0,-16.66666666666667,20.41241452319315,11.785113019775793,0.8163910632290845,0.0005901216615796807,0.0003407069001675633,-0.00030722199202982395,0.0016899800659436698,0.000975710445997026,-0.00013138866651806808,2.2659766714444515e-06,2.6272387043668743e-15,4.386248603336,True,False
source_Al99_only,normal_xx50MPa,-0.5,-25.0,-0.0,-0.0,-0.0,-0.0,-0.0,-8.333333333333336,10.206207261596575,5.892556509887896,0.8164446170515952,0.0002949861527935691,0.00017031033472260297,-0.00015385549425389898,0.0008447761714356845,0.00048773174998305936,-6.579889705466038e-05,5.664554763401451e-07,3.0257914229725458e-15,4.389864551642657,True,False
source_Al99_only,normal_xx50MPa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8164983416260693,-5.1663636417101715e-17,4.7376631464000616e-17,3.179437228834644e-16,-1.4147686238098757e-16,-2.4318808319967275e-16,1.3597399555105182e-16,0.0,2.1708478997810273e-15,4.3935466211103655,True,False
source_Al99_only,normal_yx50MPa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8164983416260692,-2.2615382587845332e-18,1.322951217031349e-16,0.0,0.0,0.0,0.0,0.0,4.0024300145742074e-15,4.39354662111037,True,False
