observable,role,original_role,validation_status,source_target,imposed_target,prediction,units,scale,imposed_normalized_residual,source_normalized_residual
normal_strain_force_ev,exact,exact,development_or_control,0.0,0.0,0.0,eV/strain,0.1,0.0,0.0
cohesive_ev_atom,exact,exact,development_or_control,3.36,3.36,3.3600000000000003,eV/atom,0.0672,6.608470384673551e-15,6.608470384673551e-15
C11_GPa,exact,exact,development_or_control,113.99999999999996,113.99999999999996,113.99999999999991,GPa,5.699999999999998,-7.479397218527373e-15,-7.479397218527373e-15
C12_GPa,exact,exact,development_or_control,62.000000000000014,62.000000000000014,61.999999999999986,GPa,3.100000000000001,-9.16829336464645e-15,-9.16829336464645e-15
C44_GPa,exact,exact,development_or_control,32.0,32.0,31.999999999999975,GPa,1.6,-1.554312234475219e-14,-1.554312234475219e-14
perfect_Haa,fit,fit,development_or_control,19.66091286328976,19.66091286328976,28.05578663346672,eV/L0^2,1.9660912863289761,4.269829091126081,4.269829091126081
perfect_Hxx,fit,fit,development_or_control,4.393593035123306,4.393593035123306,4.559707494151115,eV/L0^2,0.43935930351233066,0.37808339939510793,0.37808339939510793
saddle_energy_at_source_state,fit,fit,development_or_control,0.07624909750742465,0.07624909750742465,0.08777094822747515,eV/cell,0.007624909750742465,1.5110802746129004,1.5110802746129004
saddle_normal_force_at_source_state,fit,fit,development_or_control,1.4903612010162394e-15,1.4903612010162394e-15,0.1106349935413681,eV/L0,0.03173805605024358,3.485878069098612,3.485878069098612
fault_energy_at_source_state,fit,fit,development_or_control,0.06670794504308616,0.06670794504308616,0.0776567165403977,eV/cell,0.006670794504308616,1.6412994719354352,1.6412994719354352
fault_normal_force_at_source_state,fit,fit,development_or_control,5.29078226360765e-15,5.29078226360765e-15,-0.09392104432855108,eV/L0,0.03173805605024358,-2.9592563633977056,-2.9592563633977056
saddle_path_force_at_source_state,fit,fit,development_or_control,2.296700476743968e-16,2.296700476743968e-16,-0.02122824880739166,eV/L0,0.03173805605024358,-0.6688578775519859,-0.6688578775519859
opening_1.1h_energy,fit,fit,development_or_control,0.05670265774764735,0.05670265774764735,0.059902147887882576,eV/cell,0.005670265774764736,0.5642575264239664,0.5642575264239664
opening_1.5h_energy,fit,fit,development_or_control,0.4710312483934004,0.4710312483934004,0.4237185217504012,eV/cell,0.04710312483934004,-1.0044498492270748,-1.0044498492270748
opening_2h_energy,fit,fit,development_or_control,0.7060534019484034,0.7060534019484034,0.6550656223922829,eV/cell,0.07060534019484034,-0.7221518856139794,-0.7221518856139794
opening_40h_energy,fit,fit,development_or_control,0.7719163228888833,0.7719163228888833,0.8468186107422495,eV/cell,0.07719163228888834,0.9703420647078126,0.9703420647078126
direct_quarter_energy,fit,fit,development_or_control,0.117221996542065,0.117221996542065,0.10568924526377826,eV/cell,0.0117221996542065,-0.9838384960580515,-0.9838384960580515
direct_half_energy,fit,fit,development_or_control,0.26732847628894163,0.26732847628894163,0.2696494377266594,eV/cell,0.026732847628894163,0.08682058379778267,0.08682058379778267
oblique_energy,fit,fit,development_or_control,0.13339289745734875,0.13339289745734875,0.11942434941157785,eV/cell,0.013339289745734876,-1.047173298731083,-1.047173298731083
opening_1.25h_energy,fit,fit,development_or_control,0.24853683654490819,0.24853683654490819,0.21552585323741974,eV/cell,0.02485368365449082,-1.3282129026183078,-1.3282129026183078
opening_3h_energy,fit,fit,development_or_control,0.7719163228888833,0.7719163228888833,0.8111867867490273,eV/cell,0.07719163228888834,0.5087399073668369,0.5087399073668369
saddle_Haa,fit,fit,development_or_control,12.717337762538286,12.717337762538286,22.506113788679272,eV/L0^2,1.2717337762538286,7.697189623268463,7.697189623268463
saddle_Hxx,fit,fit,development_or_control,-0.18642463121762062,-0.18642463121762062,-0.07088429291390362,eV/L0^2,0.018642463121762064,6.197697029039168,6.197697029039168
