       Step     Time          Energy          fmax
LBFGS:    0 04:30:57    -1163.315129        0.112368
LBFGS:    1 04:31:01    -1163.318052        0.090174
LBFGS:    2 04:31:06    -1163.324266        0.039219
LBFGS:    3 04:31:10    -1163.324653        0.034518
LBFGS:    4 04:31:15    -1163.325914        0.025564
LBFGS:    5 04:31:19    -1163.326045        0.020942
LBFGS:    6 04:31:24    -1163.326299        0.013255
LBFGS:    7 04:31:29    -1163.326459        0.013186
LBFGS:    8 04:31:33    -1163.326573        0.009958
LBFGS:    9 04:31:38    -1163.326631        0.008261
LBFGS:   10 04:31:43    -1163.326691        0.006755
LBFGS:   11 04:31:47    -1163.326750        0.008138
LBFGS:   12 04:31:52    -1163.326799        0.006610
LBFGS:   13 04:31:57    -1163.326838        0.006861
LBFGS:   14 04:32:01    -1163.326880        0.006945
LBFGS:   15 04:32:06    -1163.326929        0.006480
LBFGS:   16 04:32:11    -1163.326969        0.005952
LBFGS:   17 04:32:15    -1163.326990        0.004124
LBFGS:   18 04:32:20    -1163.327001        0.003274
LBFGS:   19 04:32:25    -1163.327010        0.002574
LBFGS:   20 04:32:29    -1163.327016        0.002280
LBFGS:   21 04:32:33    -1163.327020        0.001635
LBFGS:   22 04:32:37    -1163.327022        0.001333
LBFGS:   23 04:32:41    -1163.327023        0.001067
LBFGS:   24 04:32:45    -1163.327025        0.000774
LBFGS:   25 04:32:49    -1163.327025        0.000705
LBFGS:   26 04:32:53    -1163.327025        0.000552
LBFGS:   27 04:32:56    -1163.327026        0.000392
LBFGS:   28 04:33:00    -1163.327026        0.000274
LBFGS:   29 04:33:04    -1163.327026        0.000289
LBFGS:   30 04:33:08    -1163.327026        0.000272
LBFGS:   31 04:33:12    -1163.327026        0.000205
LBFGS:   32 04:33:15    -1163.327026        0.000138
