run,state,valid,model,a_L0,ux_L0,uy_L0,energy_eV_cell,energy_J_m2,gradient_norm_eV_L0,eigenvalue_min_eV_L0sq,eigenvalue_middle_eV_L0sq,eigenvalue_max_eV_L0sq,force_a_eV_L0,traction_a_MPa,H_aa_eV_L0sq,H_ax_eV_L0sq,H_ay_eV_L0sq,force_x_eV_L0,traction_x_MPa,H_xa_eV_L0sq,H_xx_eV_L0sq,H_xy_eV_L0sq,force_y_eV_L0,traction_y_MPa,H_ya_eV_L0sq,H_yx_eV_L0sq,H_yy_eV_L0sq
cross_verified_polish,perfect,True,candidate,0.816496580928108,5.867828021743591e-17,8.504392183397177e-17,3.1577649331504306e-15,7.123271685307582e-15,5.899880974373173e-15,4.759312845787737,4.759312845787764,30.250643100726712,5.780693724411767e-15,4.55344028889208e-11,30.250643100726712,-6.2321614463643046e-15,-2.9631207273530097e-14,1.0390159118272807e-15,8.184306485110848e-12,-6.2321614463643046e-15,4.759312845787741,-6.201116677875219e-15,5.591256668108617e-16,4.404221118061912e-12,-2.9631207273530097e-14,-6.201116677875219e-15,4.759312845787762
cross_verified_polish,fault,True,candidate,0.825222855778793,0.5000000000000003,0.28867513459481337,0.10675698483697545,0.24082191784280324,7.148526304330663e-15,1.2713270094677698,1.2713270094678342,31.28177122976481,7.049916206369744e-15,5.5532041685297524e-11,31.28177122976481,-6.79645220660376e-14,-6.737613193817281e-14,4.874865991852989e-16,3.839921689072364e-12,-6.79645220660376e-14,1.2713270094678173,2.861703632177609e-14,-1.0781774540804463e-15,-8.492781129802147e-12,-6.737613193817281e-14,2.861703632177609e-14,1.2713270094677867
cross_verified_polish,saddle,True,candidate,0.8285045924265718,0.45942812813476314,0.265250953451891,0.10721499473991125,0.24185509448585318,1.6241990434374103e-15,-1.15306691761696,3.261301250570471,31.760271718524244,1.2212453270876722e-15,9.619723756508233e-12,31.331039083053383,3.2337948021151197,1.8670322995052153,1.0411288530517288e-15,8.200950078696914e-12,3.2337948021151197,0.27244960103302873,-1.725614304428283,2.502660486616501e-16,1.971340401767686e-12,1.8670322995052153,-1.725614304428283,2.265017367391342
joint_bulk_interface,perfect,True,candidate,0.8164965809278042,-4.663348368988183e-17,-4.6498048232643754e-17,5.2881720782177276e-17,1.1929034373759067e-16,2.0790221566445774e-15,3.418008550798134,3.418008550798144,23.15033186393608,2.040781278955518e-15,1.6075191213072543e-11,23.15033186393608,9.273731858672456e-16,1.4296734171250587e-14,3.497132083922022e-16,2.7546835874145974e-12,9.273731858672456e-16,3.418008550798142,-3.2182554984599585e-15,-1.877380386596751e-16,-1.4788085820573931e-12,1.4296734171250587e-14,-3.2182554984599585e-15,3.4180085507981377
joint_bulk_interface,fault,True,candidate,0.8359285804308623,0.49999999999999833,0.2886751345948151,0.08573501123067176,0.19340064598465104,2.7037784623512337e-15,0.7376251953367259,0.7376251953368412,22.652572429579543,-2.6419838539126772e-15,-2.0810851251650625e-11,22.652572429579543,5.346637839600279e-14,-7.054693750856145e-14,-5.641959991321557e-16,-4.444160019118638e-12,5.346637839600279e-14,0.7376251953368336,-2.7619740504392367e-14,-1.0964562783069471e-16,-8.63676304379811e-13,-7.054693750856145e-14,-2.7619740504392367e-14,0.7376251953367329
joint_bulk_interface,saddle,True,candidate,0.8388561909720704,0.4319035362031793,0.2493596228908581,0.08645478479593957,0.19502430789927933,1.3912466000773155e-14,-0.6402695473908724,2.2147246007335237,23.30085402472789,1.196959198423997e-16,9.428422431804944e-13,23.225325844305004,1.1627096567857413,0.671290733334539,1.1783109210572462e-14,9.281530343193492e-11,1.1627096567857413,0.130125124957419,-1.2035440684919179,7.395993539827117e-15,5.82580855623194e-11,0.671290733334539,-1.2035440684919179,1.51985810880812
joint_quartic,perfect,True,candidate,0.8164965809278315,-9.656910701360595e-17,-9.612718658234853e-17,1.0831854394254868e-14,2.4434447572698575e-14,1.3369019575208836e-14,4.415600634240123,4.415600634240154,35.349989825265574,-1.33311223207886e-14,-1.0500897014363838e-10,35.349989825265574,3.317887968262791e-14,-9.938562428578798e-15,-1.0032097791426747e-15,-7.902262331020865e-12,3.317887968262791e-14,4.415600634240154,6.6196147216227826e-15,-7.370352448519776e-17,-5.805611122536922e-13,-9.938562428578798e-15,6.6196147216227826e-15,4.415600634240125
joint_quartic,fault,True,candidate,0.8299962648485696,0.4999999999999992,0.28867513459481436,0.09675527221768716,0.21826010028709297,7.250263309644909e-15,0.651594582688846,0.6515945826889701,33.49807244337004,-7.22599063918139e-15,-5.691897628939637e-11,33.49807244337004,6.248796889587488e-14,-1.377702151815026e-13,5.552983124726118e-16,4.374073128435587e-12,6.248796889587488e-14,0.6515945826889639,-2.7097821687615026e-14,-2.074153461322135e-16,-1.6338063191698032e-12,-1.377702151815026e-13,-2.7097821687615026e-14,0.6515945826888522
joint_quartic,saddle,True,candidate,0.831141139334863,0.47505637644314375,0.2742739268196983,0.09684549252768795,0.21846361884951715,4.3045179639419e-15,-0.6365994337475533,1.8187901893102858,33.63541090410812,3.977720930414819e-15,3.13324241103315e-11,33.460489178726476,2.115003824568381,1.2210980274514784,4.588343593958655e-16,3.6142285988585623e-12,2.115003824568381,0.10843926605317966,-0.9874715659512616,1.579899405745877e-15,1.2444834390965729e-11,1.2210980274514784,-0.9874715659512616,1.2486732148911968
mixed_density,perfect,True,candidate,0.8164965809278317,-9.656987285810281e-17,-9.61279734715408e-17,1.0959301962953354e-14,2.4721943214929765e-14,1.082507550070059e-14,4.415595282495862,4.415595282495891,35.349499508166744,-1.075386385344372e-14,-8.47079594006923e-11,35.349499508166744,4.7450812236544626e-14,-8.235393264272972e-15,-1.0753238236392782e-15,-8.47030314283399e-12,4.7450812236544626e-14,4.415595282495888,9.124138474820872e-15,-6.167256211464806e-16,-4.857934746934094e-12,-8.235393264272972e-15,9.124138474820872e-15,4.4155952824958655
mixed_density,fault,True,candidate,0.829996843231162,0.4999999999999995,0.2886751345948132,0.09675648025568452,0.21826282537367903,1.1705186340917892e-14,0.651498675253763,0.6514986752537991,33.49730540949492,1.1671653227240952e-14,9.193736699535018e-11,33.49730540949492,4.475817120345872e-14,-6.051929789293493e-14,3.5413884703976497e-16,2.789544249962397e-12,4.475817120345872e-14,0.6514986752537922,-1.3772632766496704e-14,8.114702062700642e-16,6.3919337481275595e-12,-6.051929789293493e-14,-1.3772632766496704e-14,0.6514986752537695
mixed_density,saddle,True,candidate,0.8311414209769251,0.4750600802353547,0.27427606520512804,0.09684666074359523,0.21846625410561468,1.7616725984360795e-15,-0.6365129425912138,1.8185435846429203,33.6346516907515,-1.493596912816031e-15,-1.1765031469252257e-11,33.459767732484835,2.114750433259539,1.2209517319111616,-3.903127820947816e-16,-3.074485575588569e-12,2.114750433259539,0.108414157917337,-0.987343684869143,8.487134606216529e-16,6.685298079363143e-12,1.2209517319111616,-0.987343684869143,1.2485004424010282
rational_development,perfect,True,candidate,0.8164965809280749,-1.2073454892963148e-16,-1.2016593946418687e-16,-2.6023288172117578e-15,-5.870321436817796e-15,6.552218427541181e-15,3.3951464004095224,3.3951464004095486,21.69012679261288,6.380631182892125e-15,5.026009763161877e-11,21.69012679261288,4.323295227481965e-14,3.914170151274343e-14,-1.260600759266281e-15,-9.929725668064398e-12,4.323295227481965e-14,3.3951464004095464,1.0773230340468107e-14,-7.937239796378489e-16,-6.252147094180311e-12,3.914170151274343e-14,1.0773230340468107e-14,3.3951464004095273
rational_development,fault,True,candidate,0.8285054587424817,0.500000000000002,0.2886751345948156,0.08178534429321892,0.18449100538202262,1.7650083526100037e-14,0.488312370922315,0.4883123709225796,32.29557356618759,1.762479051592436e-14,1.3883010421324384e-10,32.29557356618759,-1.7801403290222302e-13,-3.064182065820408e-13,6.135382684865919e-16,4.8328280370678456e-12,-1.7801403290222302e-13,0.48831237092255053,8.309555641890242e-14,7.181772352234049e-16,5.657066977310138e-12,-3.064182065820408e-13,8.309555641890242e-14,0.4883123709223443
rational_development,saddle,True,candidate,0.8291971136477703,0.4811446225257106,0.2777889773343587,0.08182410116767284,0.18457843296205254,3.477881549968454e-15,-0.4845726067390949,1.390454034957252,32.402905243409826,-3.344546861683284e-15,-2.6344925287710047e-11,32.28999280226466,1.6659808344791225,0.9618544832513755,-3.668940151690947e-16,-2.890016441053255e-12,1.6659808344791225,0.06886838454383076,-0.7630178310232945,-8.803721640582296e-16,-6.9346730204942164e-12,0.9618544832513755,-0.7630178310232945,0.9499254848194922
spatial_stiffness_fit,perfect,True,candidate,0.8164965809278307,-1.2121485609294848e-16,-1.2063920776520315e-16,-7.919777822534249e-15,-1.7865398568759662e-14,1.23880542027365e-14,3.3718235664034375,3.371823566403452,24.01835910515871,1.235264307888516e-14,9.730150973432379e-11,24.01835910515871,3.780700012158945e-14,2.290630963766573e-14,-9.009042145681629e-16,-7.096403550535419e-12,3.780700012158945e-14,3.371823566403452,5.8101922711656156e-15,-2.5390449342486854e-16,-2.000000354644593e-12,2.290630963766573e-14,5.8101922711656156e-15,3.37182356640344
spatial_stiffness_fit,fault,True,candidate,0.8331465721724113,0.5000000000000001,0.28867513459481237,0.08068623620551144,0.18201164238762513,7.420923517607395e-15,1.338394851974356,1.338394851974399,34.045455432119844,7.327471962526033e-15,5.771834253904939e-11,34.045455432119844,2.970015606353616e-14,5.297363558972044e-14,-3.247652099619856e-16,-2.5581687284805614e-12,2.970015606353616e-14,1.3383948519743567,-3.3731868145298958e-15,-1.1281790863917633e-15,-8.88664293589513e-12,5.297363558972044e-14,-3.3731868145298958e-15,1.3383948519743987
spatial_stiffness_fit,saddle,True,candidate,0.8369709142142503,0.4466559447727506,0.25787692994969386,0.08147846046716373,0.1837987382516011,1.1591079574343314e-14,-1.099846627997627,3.758947842557014,34.68775867767884,-1.1511624986582092e-14,-9.067682790935885e-11,34.36334509092316,2.9374403683316372,1.6959319873847951,6.904199434387692e-16,5.43842337370778e-12,2.9374403683316372,0.3581621797077849,-1.9634445179022166,-1.1657341758564144e-15,-9.182463585757859e-12,1.6959319873847951,-1.9634445179022166,2.6253526216072776
