case,j,lower_layer,y_over_L0,raw_delta_x,raw_delta_y,raw_delta_z,affine_subtracted_delta_x,affine_subtracted_delta_y,affine_subtracted_delta_z,both_rows_free
plus_50MPa_R4r5,2,0,1.8763883748662837,0.08669116272195793,0.015134647591037035,0.006700601576114345,0.08526818190183148,0.015134647591037035,0.006700601576114345,True
plus_50MPa_R4r5,3,0,2.7424137786507226,0.04981443847424612,0.008757575975058544,0.0035307677179018462,0.048391457654119674,0.008757575975058544,0.0035307677179018462,True
plus_50MPa_R4r5,4,0,3.608439182435161,0.039257597871831446,0.003142138141920388,0.0010051980081797552,0.037834617051705,0.003142138141920388,0.0010051980081797552,True
plus_50MPa_R4r5,5,0,4.474464586219599,0.032259113694268794,0.0,0.0,0.030836132874142348,0.0,0.0,False
plus_50MPa_R4r5,6,0,5.340489990004038,0.027139948883289314,0.0,0.0,0.025716968063162867,0.0,0.0,False
plus_50MPa_R4r5,7,0,6.206515393788477,0.023476546308042835,0.0,0.0,0.02205356548791639,0.0,0.0,False
plus_50MPa_R4r5,8,0,7.072540797572915,0.020725790498889743,0.0,0.0,0.019302809678763296,0.0,0.0,False
plus_50MPa_R4r5,9,0,7.938566201357354,0.018584655855695194,0.0,0.0,0.017161675035568747,0.0,0.0,False
plus_50MPa_R4r5,10,0,8.804591605141791,0.016870821008201333,0.0,0.0,0.015447840188074888,0.0,0.0,False
plus_50MPa_R4r5,11,0,9.670617008926232,0.015468041364268329,0.0,0.0,0.014045060544141882,0.0,0.0,False
plus_50MPa_R4r5,12,0,10.53664241271067,0.014298714124258271,0.0,0.0,0.012875733304131826,0.0,0.0,False
plus_50MPa_R4r5,13,0,11.402667816495107,0.013309059470875975,0.0,0.0,0.011886078650749528,0.0,0.0,False
plus_50MPa_R4r5,14,0,12.268693220279548,0.012460633321891203,0.0,0.0,0.011037652501764758,0.0,0.0,False
plus_unload50_R4r5,-14,0,-11.980018085684733,0.9889623474982353,0.0,0.0,0.9889623474982353,0.0,0.0,False
plus_unload50_R4r5,-13,0,-11.113992681900296,0.9881139213492505,0.0,0.0,0.9881139213492505,0.0,0.0,False
plus_unload50_R4r5,-12,0,-10.247967278115857,0.9871242666958682,0.0,0.0,0.9871242666958682,0.0,0.0,False
plus_unload50_R4r5,-11,0,-9.381941874331417,0.9859549394558582,0.0,0.0,0.9859549394558582,0.0,0.0,False
plus_unload50_R4r5,-10,0,-8.51591647054698,0.9845521598119251,0.0,0.0,0.9845521598119251,0.0,0.0,False
plus_unload50_R4r5,-9,0,-7.649891066762541,0.9828383249644312,0.0,0.0,0.9828383249644312,0.0,0.0,False
plus_unload50_R4r5,-8,0,-6.783865662978103,0.9806971903212367,0.0,0.0,0.9806971903212367,0.0,0.0,False
plus_unload50_R4r5,-7,0,-5.917840259193664,0.9779464345120836,0.0,0.0,0.9779464345120836,0.0,0.0,False
plus_unload50_R4r5,-6,0,-5.0518148554092255,0.9742830319368372,0.0,0.0,0.9742830319368372,0.0,0.0,False
plus_unload50_R4r5,-5,0,-4.185789451624787,0.9691638671258577,0.0,0.0,0.9691638671258577,0.0,0.0,False
plus_unload50_R4r5,-4,0,-3.319764047840348,0.9633659891239055,0.0024735832890229945,0.00035081455047320973,0.9633659891239055,0.0024735832890229945,0.00035081455047320973,True
